Species,TaxLevel,FunctionalGroup,Reference,Reference_pres_link,Observation
Larvae_Fish,Species,Zooplankton,GarciaAlonso_etal_2018; 2020,https://doi.org/10.1007/s00300-018-2352-z,
Larvae_Nauplii,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Latrunculia_sp,Species,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Lepidonotothen_squamifrons,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Leptochiton_kerguelensis,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Leptochiton_medinae,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Leptychaster_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Leucon_septemdentatus,Species,Cumacea,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Leucothoe_spinicarpa,Species,Amphipoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Libidoclaea_granaria,Species,Decapoda,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,
Limopsis_sp,Species,Bivalvia,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Taken from Limopsis_hirtella
Liotella_crassicostata,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Lithodes_confundens,Species,Decapoda,Lovrich_etal_2005; Pérez-Barros_etal_2015; Schejter_etal_2016,https://doi.org/10.3989/scimar.2005.69s2183,
Lithodes_couesi,Species,Decapoda,Pérez-Barros_etal_2020,https://doi.org/10.1007/s00300-019-02609-x,
Lithodes_turkayi,Species,Decapoda,Stevens&Lovrich_2014,https://doi.org/10.1201/b16664,
Lohmanniella_sp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Lumbrineridae,Family,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Lysasterias_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Macrochiridothea_stebbingi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Macronectes_giganteus,Species,SeaBirds,RayaRey_pers.com.,NA,
Macronectes_halli,Species,SeaBirds,RayaRey_pers.com.,NA,
Macrourus_carinatus,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Macrourus_holotrachys,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Macrourus_whitsoni,Species,Fish_BenPel,Zunino&Ichazo_1979,https://aquadocs.org/handle/1834/3126,
Macruronus_novaezelandiae,Species,Fish_BenPel,CampaignReport_Angelescu2018,https://www.pampazul.gob.ar/documentos/Informe-campania-VA1418-final.pdf,Synonym of Macruronus_magellanicus
Magelona_alleni,Species,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Maldanidae,Family,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Mancopsetta_maculata,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Margarella_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Melanostigma_gelatinosum,Species,Fish_Demersal,Díaz de Astarloa_pers.com.,NA,
Meridiosignum_menziesi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Meridiosignum_undulatum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Mesoplodon_bowdoini,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Mesoplodon_grayi,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Mesoplodon_layardii,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Metepimeria_acanthurus,Species,Amphipoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Micromesistius_australis,Species,Fish_Pel,Zunino&Ichazo_1979,https://aquadocs.org/handle/1834/3126,
Moruloidea_darwinii,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_gallardoi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_longipoda,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munna_pallida,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munnogonium_diplonychia,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Munnogonium_falklandicum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Muraenolepis_spp,Species,Fish_BenPel,Díaz de Astarloa_pers.com.,NA,
Myxine_spp,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Natatolana_pastorei,Species,Isopoda,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Neasellus_argentinensis,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Neasellus_bicarinatus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Necromass,NA,Non-living,Riccialdelli_etal_2017,https://doi.org/10.3354/meps13524,
Neocalanus_tonsus,Species,Copepoda,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Neojaera_antarctica,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Neoserolis_exigua,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Nephtys_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Nicolea_chilensis,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Nicon_maculata,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Nothria_anoculata,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Notioceramus_anomalus,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Notophycis_marginata,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Nuttallochiton_hyadesi,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Nuttallochiton_martiali,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Obelia_spp,Species,Zooplankton,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Oceanites_sp,Species,SeaBirds,RayaRey_pers.com.,NA,Taken from Oceanites_oceanicus
Odontaster_penicillatus,Species,Echinodermata,Schejter_etal_2016; Fraysse_etal_2018,https://doi.org/10.1007/s00300-016-1913-2,
Odontaster_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Odontasteridae,Family,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Odontocymbiola_magellanica,Species,Gastropoda,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Odostomia_sp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Oenonidae,Family,Polychaeta,Schejter_etal_2016; Bremec_etal_2019,https://doi.org/10.1007/s00300-016-1913-2,
Oithona_spp,Species,Copepoda,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,Aggregated: Oithona_atlantica & O._similis
Onoba_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Onuphis_pseudoiridescens,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Ophiacantha_sp,Species,Echinodermata,Schejter_etal_2016; 2020a,https://doi.org/10.1007/s00300-016-1913-2,
Ophiacantha_vivipara,Species,Echinodermata,Schejter_etal_2017a; 2020a,https://ri.conicet.gov.ar/handle/11336/55435,
Ophiactis_sp,Species,Echinodermata,Schejter_etal_2016; 2020a; Brogger_pers.com.,NA,Aggregated: Ophiactis_asperula & Ophiactis_spp
Ophiocten_amitinum,Species,Echinodermata,Brogger_pers.com.,NA,
Ophiolimna_antarctica,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Ophioplinthus_confragosa,Species,Echinodermata,Brogger_pers.com.,NA,
Ophioplinthus_inornata,Species,Echinodermata,Brogger_pers.com.,NA,
Ophiura_lymani,Species,Echinodermata,Schejter_etal_2016; 2020a,https://doi.org/10.1007/s00300-016-1913-2,
Orbiniidae,Family,Polychaeta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Ornatoscalpellum_gibberum,Species,Benthos_Misc,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Otaria_flavescens,Species,MarineMammals_2,RayaRey_pers.com.,NA,
Pachyptila_sp,Species,SeaBirds,RayaRey_pers.com.,NA,Taken from Pachyptila_belcheri
Pagurus_comptus,Species,Decapoda,Lovrich_etal_2005; Schejter_etal_2016,https://doi.org/10.3989/scimar.2005.69s2183,
Pagurus_forceps,Species,Decapoda,Lovrich_etal_2005,https://doi.org/10.3989/scimar.2005.69s2183,Inferred from P. comptus
Parabuccinum_politum,Species,Gastropoda,Pastorino_2019,https://doi.org/10.1007/s12526-018-0876-7,
Paractis_laevis,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Paralomis_granulosa,Species,Decapoda,Schejter_etal_2016; Pérez-Barros_etal_2020,https://doi.org/10.1007/s00300-016-1913-2,
Paralomis_spinosissima,Species,Decapoda,Pérez-Barros_etal_2020,https://doi.org/10.1007/s00300-019-02609-x,
Paramunna_integra,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Paraonidae,Family,Polychaeta,Schejter_etal_2016; Bremec_etal_2019,https://doi.org/10.1007/s00300-016-1913-2,
Parborlasia_corrugatus,Species,Benthos_Misc,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,
Pareuthria_spp,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Patagonotothen_cornucola,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Patagonotothen_elegans,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Patagonotothen_guntheri,Species,Fish_BenPel,Schejter_etal_2016; Díaz de Astarloa_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Patagonotothen_kreffti,Species,Fish_BenPel,Delpiani_etal_2020,https://doi.org/10.1016/j.fishres.2019.105373,
Patagonotothen_ramsayi,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Pelagobia_longicirrata,Species,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Pelecanoides_sp,Species,SeaBirds,RayaRey_pers.com.,NA,
Pellilitorina_pellita,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Pentactella_leonina,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Pentactella_perrieri,Species,Echinodermata,Martinez_etal_2020,https://doi.org/10.1007/s00300-020-02715-1,
Perknaster_fuscus,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Perknaster_sp,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Phaeocystis_antarctica,Species,Coccolithophorids,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Phalacrocorax_atriceps,Species,SeaBirds,RayaRey_pers.com.,NA,
Phelliactis_sp,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Phoxocephalus_sp,Species,Amphipoda,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,
Pista_spp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Platytyphlops_sarahae,Species,Cumacea,Roccatagliata_2020,https://doi.org/10.1016/j.jcz.2020.03.009,
Pleurosignum_chilense,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Pleurosignum_magnum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Poecilosclerida,Order,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Pogonolycus_elegans,Species,Fish_BenPel,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Polycheria_spp,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Aggregated: Polycheria_antarctica & P._similis
Polycitor_glareosus,Species,Ascidiacea,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,
Polyclinidae,Family,Ascidiacea,Tatian_etal_2005,https://doi.org/10.3989/scimar.2005.69s2205,
Polydora_sp,Species,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Polyeunoa_laevis,Species,Polychaeta,Schejter_etal_2016; Bremec_etal_2019,https://doi.org/10.1007/s00300-016-1913-2,
Potamilla_sp,Species,Polychaeta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Primnoella_scotiae,Species,Coral,Schejter_etal_2020a; 2020b,https://doi.org/10.1002/aqc.3265,
Primnoisis_antarctica,Species,Coral,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Procellaria_aequinoctialis,Species,SeaBirds,RayaRey_pers.com.,NA,
Prosipho_crassicostatus,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Protoperidinium_sp,Species,Dinoflagellates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,Collapsed as Dinoflagellates_heterosol
Psammobatis_rudis,Species,Fish_Chond,Díaz de Astarloa_pers.com.,NA,
Pseudechinus_magellanicus,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Pseudidothea_miersi,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Pseudosagitta_gazellae,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Psolus_antarcticus,Species,Echinodermata,Schejter_etal_2016; Martinez_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Psolus_patagonicus,Species,Echinodermata,Schejter_etal_2016; Martinez_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Psolus_segregatus,Species,Echinodermata,Schejter_etal_2016; Martinez_pers.com.,https://doi.org/10.1007/s00300-016-1913-2,
Psychrolutes_marmoratus,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Pteraster_affinis,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Pteraster_sp,Species,Echinodermata,Fraysse_etal_2018,https://doi.org/10.1007/s00300-018-2377-3,
Puncturella_conica,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Pyura_spp,Species,Ascidiacea,Taverna_etal_2018,https://doi.org/10.1007/s00300-018-2272-y,
Quetzogonium_dentatum,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Rectarcturus_kophameli,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Rectarcturus_tuberculatus,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Rhincalanus_gigas,Species,Copepoda,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Rhizosolenia_crassa,Species,Diatoms,Bertola&Iachetti_TallerCientifico_2021,NA,Video Bertola&Iachetti
Rhodalia_miranda,Species,Cnidaria_benthic,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Sabellidae,Family,Polychaeta,Schejter_etal_2016; Bremec_etal_2019; Spinelli_etal_2020,NA,NA
Salilota_australis,Species,Fish_Demersal,Delpiani_etal_2020; Díaz de Astarloa_pers.com.,https://doi.org/10.1016/j.fishres.2019.105373,
Salpa_thompsoni,Species,Zooplankton,Capitanio_pers.com.,NA,
Santia_compacta,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Schizasteridae,Family,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Scissurella_clathrata,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Seba_subantarctica,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Serpula_spp,Species,Polychaeta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Serratosagitta_tasmanica,Species,Zooplankton,Sotelo_etal_2018,https://doi.org/10.1080/17451000.2018.1550257,
Spheniscus_magellanicus,Species,SeaBirds,RayaRey_pers.com.,NA,
Spiophanes_sp,Species,Polychaeta,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Sporonana_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Sprattus_fuegensis,Species,Fish_Pel,GarciaAlonso_etal_2018,https://doi.org/10.1007/s00300-018-2352-z,
Squalus_acanthias,Species,Fish_Chond,Cousseau&Perrotta_2000,https://www.inidep.edu.ar/wordpress/?page_id=839,
Stenothoidae,Family,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,"Aggregated: Thaumatelson_herdmani, Metopoides_longicornis, Probolisca_ovata & Torometopa_crassicornis"
Sterechinus_agassizii,Species,Echinodermata,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Strobilidium_sp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Strombidinopsis_sp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Strombidium_spp,Species,Ciliates,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Sycozoa_sigillinoides,Species,Ascidiacea,GBIF,https://www.gbif.org/species/2331330,
Syllidae,Family,Polychaeta,Schejter_etal_2016; Bremec_etal_2019,NA,NA
Sympagurus_dimorphus,Species,Decapoda,Lovrich_pers.com.,NA,
Synechococcus_sp,Species,Phytoplankton_Misc,Guinder_etal_2020,https://doi.org/10.1371/journal.pone.0233156,
Tasmacetus_shepherdi,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Tectonatica_impervia,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Tedania_sp,Species,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Terebellides_malvinensis,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Tetractinellida,Order,Porifera,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,
Thalassarche_chrysostoma,Species,SeaBirds,RayaRey_pers.com.,NA,
Thalassarche_melanophris,Species,SeaBirds,RayaRey_pers.com.,NA,
Thelepus_sp,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Themisto_gaudichaudii,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Thouarella_spp,Species,Coral,Schejter_etal_2020b,https://doi.org/10.11646/zootaxa.4878.2.1,
Thymops_birsteini,Species,Decapoda,Lovrich_etal_2005,https://doi.org/10.3989/scimar.2005.69s2183,
Tinerfe_cyanea,Species,Zooplankton,Spinelli_etal_2020,https://doi.org/10.1016/j.jmarsys.2020.103398,
Tonicia_lebruni,Species,Polyplacophora,Teso_etal_2019,https://doi.org/10.1186/s12898-019-0263-7,
Travisia_kerguelensis,Species,Polychaeta,Bremec_etal_2019,http://dx.doi.org/10.15517/rbt.v67is5.38937,
Trophon_ohlini,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Trophon_plicatus,Species,Gastropoda,DiLuca&Zelaya_2019; Teso_etal_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Tryphosella_sp,Species,Amphipoda,Fischer_etal_2022,https://doi.org/10.1007/s00300-022-03082-9,
Tryphosites_chevreuxi,Species,Amphipoda,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,
Tulpa_tulipifera,Species,Cnidaria_benthic,Schejter_etal_2020a; 2020b,https://doi.org/10.1002/aqc.3265,
Turbonilla_strebeli,Species,Gastropoda,DiLuca&Zelaya_2019,https://doi.org/10.11646/zootaxa.4544.1.2,
Uromunna_nana,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Uromunna_sp,Species,Isopoda,Doti_etal_2020,https://doi.org/10.1007/s00300-020-02725-z,
Ziphius_cavirostris,Species,MarineMammals_3,Riccialdelli_etal_2017,https://doi.org/10.3354/meps12296,
Zygochlamys_patagonica,Species,Bivalvia,Schejter_etal_2020a,https://doi.org/10.1002/aqc.3265,