Column1,Species,TaxLevel,tl,conn,SE_num,SE,FunctionalGroup_Num,FunctionalGroup
14,Alcyonium antarcticum,Species,2,5,3,Biodiversidad,4,Coral
25,Anthoptilum grandiflorum,Species,2.388888889,9,3,Biodiversidad,4,Coral
33,Asbestopluma,Species,3.437314046,3,3,Biodiversidad,1,Porifera
49,Balticina africana,Species,2.388888889,10,3,Biodiversidad,5,Cnidaria benthic
60,Brachiopoda,Species,2,24,3,Biodiversidad,7,Brachiopoda
64,Calcarea,Class,2.055555556,9,3,Biodiversidad,1,Porifera
65,Calliostoma,Species,1,4,3,Biodiversidad,8,Gastropoda
67,Campanularia,Species,2,2,3,Biodiversidad,7,Cnidaria benthic
76,Clathria,Species,2,2,3,Biodiversidad,1,Porifera
78,Clavularia,Species,2.125,6,3,Biodiversidad,4,Coral
84,Colpospirella algida,Species,1,3,3,Biodiversidad,8,Gastropoda
85,Convexella magelhaenica,Species,2.35,14,3,Biodiversidad,4,Coral
140,Flabellum,Species,2,2,3,Biodiversidad,4,Coral
142,Fuegotrophon pallidus,Species,2.285714286,11,3,Biodiversidad,8,Gastropoda
156,Halichondrida,Order,2.071428571,8,3,Biodiversidad,1,Porifera
158,Haplosclerida,Order,2.045454545,16,3,Biodiversidad,1,Porifera
164,Hexactinellida,Class,2.125,5,3,Biodiversidad,1,Porifera
177,Ideogorgia laurae,Species,2,6,3,Biodiversidad,4,Coral
191,Latrunculia,Species,1,2,3,Biodiversidad,1,Porifera
217,Margarella,Species,1,2,3,Biodiversidad,8,Gastropoda
268,Orbiniidae,Family,2.1,12,3,Biodiversidad,7,Polychaeta
269,Ornatoscalpellum gibberum,Species,2,3,3,Biodiversidad,7,Benthos Misc
281,Pareuthria,Species,1,2,3,Biodiversidad,8,Gastropoda
285,Patagonotothen kreffti,Species,3,7,3,Biodiversidad,11,Fish BenPel
302,Poecilosclerida,Order,2.041666667,17,3,Biodiversidad,1,Porifera
310,Primnoella scotiae,Species,2.388888889,13,3,Biodiversidad,4,Coral
311,Primnoisis antarctica,Species,2.318181818,14,3,Biodiversidad,4,Coral
358,Tedania,Species,2,2,3,Biodiversidad,1,Porifera
360,Tetractinellida,Order,2.083333333,6,3,Biodiversidad,1,Porifera
365,Thouarella,Species,2.35,14,3,Biodiversidad,4,Coral
370,Trophon ohlini,Species,2.285714286,14,3,Biodiversidad,8,Gastropoda
371,Trophon plicatus,Species,2.285714286,14,3,Biodiversidad,8,Gastropoda
374,Tulpa tulipifera,Species,2,3,3,Biodiversidad,5,Cnidaria benthic
76,Clathria,Species,2,2,4,Biopurificacion,1,Porifera
164,Hexactinellida,Class,2.125,5,4,Biopurificacion,1,Porifera
33,Asbestopluma,Species,3.437314046,3,5,Ciclo de carbono,1,Porifera
36,Astrotoma agassizii,Species,2.21765317,11,5,Ciclo de carbono,6,Echinodermata
61,Bryozoa,Other,2,15,5,Ciclo de carbono,2,Bryozoa
64,Calcarea,Class,2.055555556,9,5,Ciclo de carbono,1,Porifera
76,Clathria,Species,2,2,5,Ciclo de carbono,1,Porifera
96,Cyrtostrombidium,Species,2,12,5,Ciclo de carbono,10,Ciliates
116,Doryteuthis gahi,Species,3.716377993,42,5,Ciclo de carbono,9,Cephalopoda
149,Gorgonocephalus chilensis,Species,3.305599335,4,5,Ciclo de carbono,6,Echinodermata
156,Halichondrida,Order,2.071428571,8,5,Ciclo de carbono,1,Porifera
158,Haplosclerida,Order,2.045454545,16,5,Ciclo de carbono,1,Porifera
164,Hexactinellida,Class,2.125,5,5,Ciclo de carbono,1,Porifera
184,Laboea strobila,Species,2,12,5,Ciclo de carbono,10,Ciliates
191,Latrunculia,Species,1,2,5,Ciclo de carbono,1,Porifera
204,Lohmanniella,Species,2,12,5,Ciclo de carbono,10,Ciliates
286,Patagonotothen ramsayi,Species,2.7922031,68,5,Ciclo de carbono,11,Fish BenPel
302,Poecilosclerida,Order,2.041666667,17,5,Ciclo de carbono,1,Porifera
345,Sprattus fuegensis,Species,2.788332245,42,5,Ciclo de carbono,13,Fish Pel
349,Strobilidium,Species,3,12,5,Ciclo de carbono,10,Ciliates
350,Strombidinopsis,Species,2,12,5,Ciclo de carbono,10,Ciliates
351,Strombidium,Species,2,14,5,Ciclo de carbono,10,Ciliates
355,Synechococcus,Species,1,7,5,Ciclo de carbono,10,Phytoplankton Misc
358,Tedania,Species,2,2,5,Ciclo de carbono,1,Porifera
360,Tetractinellida,Order,2.083333333,6,5,Ciclo de carbono,1,Porifera
127,Eubalaena australis,Species,3.246033825,8,7,Educacion,14,MarineMammals 1
130,Eudyptes chrysocome,Species,3.790749603,6,7,Educacion,15,SeaBirds
208,Macronectes giganteus,Species,3.095189077,7,7,Educacion,15,SeaBirds
295,Phalacrocorax atriceps,Species,3.086922139,7,7,Educacion,15,SeaBirds
342,Spheniscus magellanicus,Species,2.934133334,8,7,Educacion,15,SeaBirds
115,Dissostichus eleginoides,Species,3.112380095,54,6,Identidad y geopolitica,11,Fish BenPel
285,Patagonotothen kreffti,Species,3,7,6,Identidad y geopolitica,11,Fish BenPel
286,Patagonotothen ramsayi,Species,2.7922031,68,6,Identidad y geopolitica,11,Fish BenPel
345,Sprattus fuegensis,Species,2.788332245,42,6,Identidad y geopolitica,13,Fish Pel
14,Alcyonium antarcticum,Species,2,5,2,Materia prima,4,Coral
25,Anthoptilum grandiflorum,Species,2.388888889,9,2,Materia prima,4,Coral
26,Aplidium,Species,2.05,13,2,Materia prima,3,Ascidiacea
36,Astrotoma agassizii,Species,2.21765317,11,2,Materia prima,6,Echinodermata
39,Austrodoris,Species,3.045454545,5,2,Materia prima,8,Gastropoda
61,Bryozoa,Other,2,15,2,Materia prima,2,Bryozoa
78,Clavularia,Species,2.125,6,2,Materia prima,4,Coral
85,Convexella magelhaenica,Species,2.35,14,2,Materia prima,4,Coral
191,Latrunculia,Species,1,2,2,Materia prima,1,Porifera
358,Tedania,Species,2,2,2,Materia prima,1,Porifera
17,Amblyraja doellojuradoi,Species,2.772222141,26,1,Pesca,12,Fish Chond
18,Amblyraja georgiana,Species,2.888967315,23,1,Pesca,12,Fish Chond
54,Bathyraja griseocauda,Species,3.13884115,29,1,Pesca,12,Fish Chond
115,Dissostichus eleginoides,Species,3.112380095,54,1,Pesca,11,Fish BenPel
116,Doryteuthis gahi,Species,3.716377993,42,1,Pesca,9,Cephalopoda
145,Genypterus blacodes,Species,3.027019677,17,1,Pesca,11,Fish Demersal
213,Macruronus novaezelandiae,Species,3.665106524,21,1,Pesca,11,Fish BenPel
225,Micromesistius australis,Species,3.058007846,39,1,Pesca,13,Fish Pel
286,Patagonotothen ramsayi,Species,2.7922031,68,1,Pesca,11,Fish BenPel
345,Sprattus fuegensis,Species,2.788332245,42,1,Pesca,13,Fish Pel